repo_name;nb_commits;nb_contributors;created_at;last_update;Documentation1;TraitementData1;AccessibilitéSourceData1;ArchitectureVariee1;Documentation2;TraitementData2;AccessibilitéSourceData2;ArchitectureVariee2;Documentation3;TraitementData3;AccessibilitéSourceData3;ArchitectureVariee3;Documentation4;TraitementData4;AccessibilitéSourceData4;ArchitectureVariee4;Total
quotaclimat;1893;17;05/10/2022 12:57;09/01/2026 18:16;3;5;3;3;3;5;3;3;3;5;3;3;3;5;3;3;56
12_bloom;1006;23;06/01/2023 15:05;05/01/2026 18:05;2;5;4;3;2;5;4;3;2;5;4;3;2;5;4;3;56
13_potentiel_solaire;834;20;22/01/2025 14:02;17/12/2025 11:27;4;4;3;2;4;4;3;2;4;4;3;2;4;4;3;2;52
13_brigade_coupes_rases;664;19;22/01/2025 13:09;09/01/2026 14:01;4;4;3;2;4;4;3;2;4;4;3;2;4;4;3;2;52
13_eclaireur_public;641;39;22/01/2025 14:03;10/01/2026 23:25;4;4;5;5;4;4;5;5;4;4;5;5;4;4;5;5;72
13_odis;620;24;22/01/2025 14:03;10/01/2026 14:19;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;80
kotaemon;493;38;12/03/2025 15:11;14/06/2025 10:34;4;4;3;2;4;4;3;2;4;4;3;2;4;4;3;2;52
13_pollution_eau;455;27;22/01/2025 14:01;02/01/2026 19:36;4;4;5;5;4;4;5;5;4;4;5;5;4;4;5;5;72
13_reveler_inegalites_cinema;394;13;22/01/2025 14:02;14/12/2025 18:38;4;4;5;5;4;4;5;5;4;4;5;5;4;4;5;5;72
13_ecoskills;382;33;22/01/2025 14:02;13/06/2025 11:14;4;4;3;2;4;4;3;2;4;4;3;2;4;4;3;2;52
shiftdataportal;346;14;13/04/2023 11:52;12/08/2025 16:19;4;4;5;5;4;4;5;5;4;4;5;5;4;4;5;5;72
batch11_e_cartomobile;309;11;30/03/2023 16:19;05/01/2026 10:07;4;4;3;2;4;4;3;2;4;4;3;2;4;4;3;2;52
13_democratiser_sobriete;305;11;22/01/2025 14:00;09/01/2026 20:24;4;4;3;2;4;4;3;2;4;4;3;2;4;4;3;2;52
13_empreinte_souffrance;195;10;22/01/2025 14:04;24/12/2025 11:23;4;4;3;2;4;4;3;2;4;4;3;2;4;4;3;2;52
