month,job,activity,changes
2025-01,Devops Engineer,backend,1
2025-01,Devops Engineer,config,5
2025-01,Devops Engineer,docs,2
2025-01,Devops Engineer,infra,2
2025-01,Devops Engineer,other,2
2025-01,Unknown,backend,30
2025-01,Unknown,config,33
2025-01,Unknown,db,3
2025-01,Unknown,docs,12
2025-01,Unknown,exploration,11
2025-01,Unknown,frontend,10
2025-01,Unknown,infra,2
2025-01,Unknown,other,9
2025-02,Unknown,backend,57
2025-02,Unknown,config,53
2025-02,Unknown,data,3
2025-02,Unknown,db,8
2025-02,Unknown,docs,21
2025-02,Unknown,exploration,60
2025-02,Unknown,frontend,19
2025-02,Unknown,infra,12
2025-02,Unknown,ml,22
2025-02,Unknown,other,8
2025-02,Unknown,testing,1
2025-03,Unknown,backend,39
2025-03,Unknown,config,27
2025-03,Unknown,data,9
2025-03,Unknown,docs,9
2025-03,Unknown,exploration,23
2025-03,Unknown,frontend,63
2025-03,Unknown,infra,5
2025-03,Unknown,ml,63
2025-03,Unknown,other,7
2025-03,Unknown,testing,4
2025-04,Unknown,backend,35
2025-04,Unknown,config,6
2025-04,Unknown,data,5
2025-04,Unknown,db,1
2025-04,Unknown,docs,1
2025-04,Unknown,exploration,13
2025-04,Unknown,frontend,62
2025-04,Unknown,infra,4
2025-04,Unknown,ml,63
2025-04,Unknown,other,3
2025-04,Unknown,testing,15
2025-05,Unknown,backend,2
2025-05,Unknown,exploration,1
2025-05,Unknown,frontend,2
2025-05,Unknown,ml,3
2025-05,Unknown,testing,1
2025-06,Unknown,backend,5
2025-06,Unknown,config,1
2025-06,Unknown,data,1
2025-06,Unknown,frontend,4
2025-06,Unknown,ml,41
2025-06,Unknown,other,1
2025-06,Unknown,testing,24
2025-07,Unknown,backend,20
2025-07,Unknown,config,1
2025-07,Unknown,exploration,1
2025-07,Unknown,frontend,13
2025-07,Unknown,infra,1
2025-07,Unknown,ml,32
2025-07,Unknown,other,1
2025-07,Unknown,testing,1
2025-08,Unknown,backend,32
2025-08,Unknown,data,5
2025-08,Unknown,db,2
2025-08,Unknown,frontend,29
2025-08,Unknown,ml,39
2025-08,Unknown,testing,17
2025-09,Unknown,backend,12
2025-09,Unknown,config,2
2025-09,Unknown,data,1
2025-09,Unknown,frontend,61
2025-09,Unknown,infra,11
2025-09,Unknown,ml,41
2025-09,Unknown,other,9
2025-09,Unknown,testing,13
2025-10,Unknown,backend,15
2025-10,Unknown,config,3
2025-10,Unknown,data,4
2025-10,Unknown,db,1
2025-10,Unknown,docs,5
2025-10,Unknown,frontend,44
2025-10,Unknown,infra,3
2025-10,Unknown,ml,80
2025-10,Unknown,other,4
2025-10,Unknown,testing,19
2025-11,Unknown,backend,6
2025-11,Unknown,frontend,5
2025-11,Unknown,infra,3
2025-11,Unknown,ml,8
2025-11,Unknown,other,1
2025-12,Unknown,config,2
2025-12,Unknown,frontend,1
2025-12,Unknown,infra,1
2026-01,Unknown,backend,1
2026-01,Unknown,config,1
2026-01,Unknown,data,1
2026-01,Unknown,db,1
2026-01,Unknown,exploration,4
2026-01,Unknown,frontend,3
2026-01,Unknown,infra,1
2026-01,Unknown,ml,3
